sample_id,task_id,title,variant,label,pred_ai,raw_score,score_ai,threshold,nonempty_lines_n,nonwhitespace_chars_n,code
2_604_A._Uncowed_Forces_human,2_604_A._Uncowed_Forces,604_A. Uncowed Forces,human,0,1,-0.15046042203903198,-0.15046042203903198,-0.18,17,337,"#include <bits/stdc++.h>
using namespace std;
int main() {
  int m[5], w[5], h[2], score[5] = {500, 1000, 1500, 2000, 2500};
  for (int i = 0; i < 5; i++) cin >> m[i];
  for (int i = 0; i < 5; i++) cin >> w[i];
  cin >> h[0] >> h[1];
  int ans = 0;
  for (int i = 0; i < 5; i++) {
    int mx = (3 * score[i]) / 10;
    int cx = (((250 - m[i]) * (score[i] / 250))) - 50 * w[i];
    ans += max(mx, cx);
  }
  ans += 100 * h[0] - 50 * h[1];
  cout << ans << endl;
  return 0;
}"
2_835_A._Key_races_human,2_835_A._Key_races,835_A. Key races,human,0,1,-0.17814990878105164,-0.17814990878105164,-0.18,15,209,"#include <bits/stdc++.h>
using namespace std;
int main() {
  int s, v1, v2, t1, t2;
  cin >> s >> v1 >> v2 >> t1 >> t2;
  int st = s * v1 + t1 * 2, nd = s * v2 + t2 * 2;
  if (st < nd) {
    cout << ""First"";
  } else if (st > nd) {
    cout << ""Second"";
  } else {
    cout << ""Friendship"";
  }
  return 0;
}"
5_p03371_AtCoder_Beginner_Contest_095_-_Half_and_Half_human,5_p03371_AtCoder_Beginner_Contest_095_-_Half_and_Half,p03371 AtCoder Beginner Contest 095 - Half and Half,human,0,1,-0.14117933809757233,-0.14117933809757233,-0.18,13,212,"#include <iostream>
#include <algorithm>
using namespace std;

int main(){
  int A,B,C,X,Y,ans=0;
  cin >> A >> B >> C >> X >> Y;
  if(A+B<2*C){
    ans=X*A+Y*B;
  }else{
    ans=min(X,Y)*C*2+max(X-Y,0)*min(A,2*C)+max(Y-X,0)*min(B,2*C);
  }
  cout << ans << endl;

}"
2_1011_A._Stages_human,2_1011_A._Stages,1011_A. Stages,human,0,1,-0.1769399344921112,-0.1769399344921112,-0.18,29,385,"#include <bits/stdc++.h>
using namespace std;
int main() {
  std::ios::sync_with_stdio(false);
  cin.tie(NULL);
  cout.tie(NULL);
  int n, k;
  cin >> n >> k;
  string s;
  cin >> s;
  sort(s.begin(), s.end());
  string ans;
  ans += s[0];
  k--;
  for (int i = 1; i < s.length() && k > 0; i++) {
    if (k > 0 && s[i] - ans[ans.length() - 1] > 1) {
      ans += s[i];
      k--;
    }
  }
  if (k == 0) {
    int count = 0;
    for (int i = 0; i < ans.length(); i++) {
      count += ans[i] - 96;
    }
    cout << count << '\n';
  } else
    cout << ""-1\n"";
}"
2_1080_C._Masha_and_two_friends_human,2_1080_C._Masha_and_two_friends,1080_C. Masha and two friends,human,0,1,-0.172322615981102,-0.172322615981102,-0.18,65,1025,"#include <bits/stdc++.h>
using namespace std;
long long calc(long long x1, long long y1, long long x2, long long y2) {
  if ((x2 - x1 + 1) * (y2 - y1 + 1) % 2 == 0) return 1;
  return 2;
}
int main() {
  long long t;
  cin >> t;
  while (t--) {
    long long n, m;
    cin >> n >> m;
    long long x1, y1, x2, y2;
    cin >> x1 >> y1 >> x2 >> y2;
    long long x3, y3, x4, y4;
    cin >> x3 >> y3 >> x4 >> y4;
    long long a, b;
    long long sum_a, sum_b;
    if (calc(1, 1, m, n) == 1) {
      sum_a = sum_b = n * m / 2;
    } else {
      sum_a = n * m / 2 + 1;
      sum_b = n * m / 2;
    }
    if (calc(x1, y1, x2, y2) == 1)
      a = (x2 - x1 + 1) * (y2 - y1 + 1) / 2;
    else {
      if (x1 % 2 == y1 % 2)
        a = (x2 - x1 + 1) * (y2 - y1 + 1) / 2;
      else
        a = (x2 - x1 + 1) * (y2 - y1 + 1) / 2 + 1;
    }
    if (calc(x3, y3, x4, y4) == 1)
      b = (x4 - x3 + 1) * (y4 - y3 + 1) / 2;
    else {
      if (x3 % 2 == y3 % 2)
        b = (x4 - x3 + 1) * (y4 - y3 + 1) / 2 + 1;
      else
        b = (x4 - x3 + 1) * (y4 - y3 + 1) / 2;
    }
    sum_a += a;
    sum_a -= b;
    sum_b -= a;
    sum_b += b;
    long long tmpx = max(x1, x3);
    long long tmpy = max(y1, y3);
    long long tmpxx = min(x2, x4);
    long long tmpyy = min(y2, y4);
    if (tmpx > tmpxx || tmpy > tmpyy) {
    } else {
      long long c;
      if (calc(tmpx, tmpy, tmpxx, tmpyy) == 1)
        c = (tmpxx - tmpx + 1) * (tmpyy - tmpy + 1) / 2;
      else {
        if (tmpx % 2 == tmpy % 2)
          c = (tmpxx - tmpx + 1) * (tmpyy - tmpy + 1) / 2;
        else
          c = (tmpxx - tmpx + 1) * (tmpyy - tmpy + 1) / 2 + 1;
      }
      sum_b += c;
      sum_a -= c;
    }
    cout << sum_a << "" "" << sum_b << endl;
  }
}"
2_1249_D1._Too_Many_Segments_(easy_version)_human,2_1249_D1._Too_Many_Segments_(easy_version),1249_D1. Too Many Segments (easy version),human,0,1,-0.17399734258651733,-0.17399734258651733,-0.18,75,1295,"#include <bits/stdc++.h>
using namespace std;
int arr[200005], tree[4 * 200005], lazy[4 * 200005];
struct info {
  int l, r, i;
};
vector<info> vec;
bool comp(info a, info b) {
  if (a.r != b.r) return a.r < b.r;
  return a.l < b.l;
}
void update(int node, int a, int b, int i, int j, int value) {
  if (lazy[node] != 0) {
    tree[node] += lazy[node];
    if (a != b) {
      lazy[node * 2] += lazy[node];
      lazy[node * 2 + 1] += lazy[node];
    }
    lazy[node] = 0;
  }
  if (a > b || a > j || b < i) return;
  if (a >= i && b <= j) {
    tree[node] += value;
    if (a != b) {
      lazy[node * 2] += value;
      lazy[node * 2 + 1] += value;
    }
    return;
  }
  int mid = (a + b) / 2;
  update(node * 2, a, mid, i, j, value);
  update(1 + node * 2, 1 + mid, b, i, j, value);
  tree[node] = max(tree[node * 2], tree[node * 2 + 1]);
}
int query(int node, int a, int b, int i, int j) {
  if (a > b || a > j || b < i) return 0;
  if (lazy[node] != 0) {
    tree[node] += lazy[node];
    if (a != b) {
      lazy[node * 2] += lazy[node];
      lazy[node * 2 + 1] += lazy[node];
    }
    lazy[node] = 0;
  }
  if (a >= i && b <= j) return tree[node];
  int mid = (a + b) / 2;
  int q1 = query(node * 2, a, mid, i, j);
  int q2 = query(1 + node * 2, 1 + mid, b, i, j);
  int res = max(q1, q2);
  return res;
}
int main() {
  int i, n, k, a, b, mx = -1;
  scanf(""%d %d"", &n, &k);
  for (i = 0; i < n; i++) {
    scanf(""%d %d"", &a, &b);
    mx = max(mx, b);
    vec.push_back({a, b, i + 1});
  }
  sort((vec).begin(), (vec).end(), comp);
  queue<int> q;
  for (i = 0; i < n; i++) {
    int l = vec[i].l, r = vec[i].r;
    int mxv = query(1, 0, mx - 1, l - 1, r - 1);
    if (mxv < k)
      update(1, 0, mx - 1, l - 1, r - 1, 1);
    else
      q.push(vec[i].i);
  }
  printf(""%d\n"", q.size());
  while (!q.empty()) {
    printf(""%d "", q.front());
    q.pop();
  }
}"
2_187_B._AlgoRace_human,2_187_B._AlgoRace,187_B. AlgoRace,human,0,1,-0.1423594057559967,-0.1423594057559967,-0.18,49,732,"#include <bits/stdc++.h>
using namespace std;
const int N = 66, INF = 1000000009;
int n, m, q;
int a[N][N][N];
int dp[N][N][N];
int main() {
  cin >> n >> m >> q;
  for (int i = 0; i < m; ++i) {
    for (int x = 1; x <= n; ++x) {
      for (int y = 1; y <= n; ++y) {
        cin >> a[i][x][y];
      }
    }
    for (int z = 1; z <= n; ++z) {
      for (int x = 1; x <= n; ++x) {
        for (int y = 1; y <= n; ++y) {
          a[i][x][y] = min(a[i][x][y], a[i][x][z] + a[i][z][y]);
        }
      }
    }
  }
  for (int i = 0; i < N; ++i)
    for (int j = 0; j < N; ++j)
      for (int k = 0; k < N; ++k) dp[i][j][k] = INF;
  for (int i = 0; i < m; ++i) {
    for (int x = 1; x <= n; ++x) {
      for (int y = 1; y <= n; ++y) {
        dp[x][y][0] = min(a[i][x][y], dp[x][y][0]);
      }
    }
  }
  for (int k = 0; k < n; ++k) {
    for (int x = 1; x <= n; ++x) {
      for (int y = 1; y <= n; ++y) {
        for (int hy = 1; hy <= n; ++hy) {
          dp[x][hy][k + 1] = min(dp[x][hy][k + 1], dp[x][y][k] + dp[y][hy][0]);
        }
      }
    }
  }
  while (q--) {
    int x, y, k;
    cin >> x >> y >> k;
    k = min(k, n);
    cout << dp[x][y][k] << endl;
  }
  return 0;
}"
5_p03003_AtCoder_Beginner_Contest_130_-_Common_Subsequence_human,5_p03003_AtCoder_Beginner_Contest_130_-_Common_Subsequence,p03003 AtCoder Beginner Contest 130 - Common Subsequence,human,0,1,-0.12572358548641205,-0.12572358548641205,-0.18,29,476,"#include <iostream>
#include <vector>
#include <algorithm>

using namespace std;

const int MOD = 1000 * 1000 * 1000 + 7;

int main()
{
	int N, M;
	cin >> N >> M;

	vector<int> S(N), T(M);
	for (auto &x : S) cin >> x;
	for (auto &x : T) cin >> x;

	vector<vector<long long>> dp(N + 1, vector<long long>(M + 1, 0));

	for (int i = 0; i <= N; ++i) {
		dp[i][0] = 1;
	}
	for (int j = 0; j <= M; ++j) {
		dp[0][j] = 1;
	}
	for (int i = 0; i < N; ++i) {
		for (int j = 0; j < M; ++j) {
			dp[i + 1][j + 1] = (dp[i][j + 1] + dp[i + 1][j]) % MOD;
			if (S[i] != T[j]) {
				dp[i + 1][j + 1] = (dp[i + 1][j + 1] + MOD - dp[i][j]) % MOD;
			}
		}
	}
	cout << dp[N][M] << endl;
}"
6_p00025_Hit_and_Blow_human,6_p00025_Hit_and_Blow,p00025 Hit and Blow,human,0,1,-0.13523101806640625,-0.13523101806640625,-0.18,18,279,"#include ""bits/stdc++.h""
using namespace std;
int main() {
	int a[4], b[4];
	while (cin >> a[0] >> a[1] >> a[2] >> a[3] >> b[0] >> b[1] >> b[2] >> b[3]) {
		int n1 = 0, n2 = 0;
		for (int i = 0; i < 4;i++) {
			if (a[i] == b[i])n1++;
		}
		for (int i = 0; i < 4;i++) {
			for (int j = 0; j < 4;j++) {
				if (i == j)continue;
				if (a[i] == b[j]) n2++;
			}
		}
		cout << n1 << "" "" << n2 << endl;
	}
}"
2_1230_A._Dawid_and_Bags_of_Candies_human,2_1230_A._Dawid_and_Bags_of_Candies,1230_A. Dawid and Bags of Candies,human,0,1,-0.1726270318031311,-0.1726270318031311,-0.18,15,221,"#include <bits/stdc++.h>
using namespace std;
int main() {
  int a[4], i;
  for (i = 0; i < 4; i++) cin >> a[i];
  sort(a, a + 4);
  if (a[0] + a[3] == a[1] + a[2]) {
    cout << ""YES"" << endl;
  } else if (a[0] + a[1] + a[2] == a[3])
    cout << ""YES"" << endl;
  else {
    cout << ""NO"" << endl;
  }
  return 0;
}"
2_215_A._Bicycle_Chain_human,2_215_A._Bicycle_Chain,215_A. Bicycle Chain,human,0,1,-0.16215187311172485,-0.16215187311172485,-0.18,31,343,"#include <bits/stdc++.h>
using namespace std;
int main() {
  int n, m, i, j, max, count = 0, flag = 0;
  cin >> n;
  int a[n];
  for (i = 0; i < n; i++) {
    cin >> a[i];
  }
  cin >> m;
  int b[m];
  for (j = 0; j < m; j++) {
    cin >> b[j];
    for (i = 0; i < n; i++) {
      if (b[j] % a[i] == 0) {
        if (flag == 0) {
          max = b[j] / a[i];
          count++;
          flag = 1;
        } else if (b[j] / a[i] == max) {
          count++;
        } else if (b[j] / a[i] > max) {
          max = b[j] / a[i];
          count = 1;
        }
      }
    }
  }
  cout << count;
  return 0;
}"
2_870_A._Search_for_Pretty_Integers_human,2_870_A._Search_for_Pretty_Integers,870_A. Search for Pretty Integers,human,0,1,-0.1136515885591507,-0.1136515885591507,-0.18,27,309,"#include <bits/stdc++.h>
using namespace std;
int main() {
  int n, m;
  cin >> n >> m;
  int a[100], b[100];
  for (int i = 0; i < n; i++) {
    cin >> a[i];
  }
  sort(a, a + n);
  for (int i = 0; i < m; i++) {
    cin >> b[i];
  }
  sort(b, b + m);
  for (int i = 0; i < n; i++) {
    for (int j = 0; j < m; j++) {
      if (a[i] == b[j]) {
        cout << a[i] << '\n';
        return 0;
      }
    }
  }
  if (a[0] > b[0]) {
    swap(a[0], b[0]);
  }
  cout << a[0] << b[0] << '\n';
}"
